name,position,company,description,linkedin_url
Robert Wilhelm,,,Chief Executive Officer at Adreima,https://www.linkedin.com/in/robert-wilhelm-10619b5
Raul Nu\xc3\xb1ez,Chief Marketing Officer,Nova Recovery Center,Chief Marketing Officer at Nova Recovery,https://www.linkedin.com/in/raul-nu%C3%B1ez-1b822b81
Kenneth McGhee,,,Chief Financial Officer at Loretto Hospital,https://www.linkedin.com/in/kenneth-mcghee-b0b99165
Michael Schneider,,,Chief Financial Officer at South Shore Hospital,https://www.linkedin.com/in/michael-schneider-4ab61913
"Sherri L. Peavy, MBA BSN RN",,,"Chief Operations Officer at University of Illinois Hospital & Health Sciences System, Mile Square Health Center",https://www.linkedin.com/in/sherripeavy
Rachna S.,Chief of Writing,The Weekly Buzz,Dartmouth Class of 2021 l President of Bridge the Divide,https://www.linkedin.com/in/rachna-shah
"Dr. Michael Dahlweid, MD, PhD","Chief Medical Officer, Digital",GE Healthcare,"Chief Medical Officer, Digital, GE Healthcare",https://www.linkedin.com/in/michaeldahlweid
John Squeo,Chief Innovation & Strategy Officer,THOREK MEMORIAL HOSPITAL,Chief Innovation & Strategy Officer and CIO at THOREK MEMORIAL HOSPITAL,https://www.linkedin.com/in/johnsqueo
"Carlos Vasquez, FACHE","Vice President, Chief Operating Officer",Franciscan Health Rensselaer,"Vice President, Chief Operating Officer",https://www.linkedin.com/in/carlos-vasquez-fache-aa4780a
"Thomas Kelley, J.D., M.B.A.",,,Vice President and Chief Financial Officer at United Hospital System,https://www.linkedin.com/in/thomas-kelley-j-d-m-b-a-a81bb17
Nick Caffentzis,,,"Chief Marketing Officer, GE Healthcare Digital at GE Healthcare",https://www.linkedin.com/in/nick-caffentzis-1455593
Audrius Polikaitis,Chief Information Officer and Assnt VP of Health Information Technology,University of Illinois Hospital and Health Sciences System,Chief Information Officer and Assnt VP of Health Information Technology,https://www.linkedin.com/in/audrius-polikaitis-3604ba63
Anthony Guaccio,,rrent: ...and Chief Executive Officer... since 2010. Chief...,CEO and President at Swedish Covenant Hospital,https://www.linkedin.com/in/anthony-guaccio-1a94648
Jamelia Hand,Chief Executive Officer,Vantage Clinical Consulting LLC,"Opioid Addiction Consultant | Training, Program Development | Healthcare, Treatment, Public Health | Speaker & Author",https://www.linkedin.com/in/jameliahand
LinkedIn Member,,,,
Jaime Parent,Founder and Chief Dreaming Officer,EN-Abled Vet,"Associate CIO, VP IT Operations, Rush University Medical Center & Assistant Professor, Rush University",https://www.linkedin.com/in/jaimeparent
Carlos Cruz,Vice President and Chief Integrity Officer,Sinai Health System,at,https://www.linkedin.com/in/carlos-cruz-58163647
Shafiq Ra,Senior Vice President and Chief Information Officer,Rush University Medical Center,Senior Vice President and CIO at Rush University Medical Center,https://www.linkedin.com/in/shafiqra
Michael Kittoe,Executive Vice President and Chief Financial Officer,Saint Anthony Hospital,Executive Financial Leader,https://www.linkedin.com/in/michaelkittoe
Megan OHare,Chief of Staff,Land of Lincoln Health,Chief of Staff,https://www.linkedin.com/in/megan-o-hare-65340b16
George Hernandez,Chief of Applications,Roji Health Intelligence,Chief of Applications,https://www.linkedin.com/in/georgelhernandez
"Xavier Moreno, CRNA, DrAP",Chief CRNA,"TOWN SQUARE ANESTHESIA, LLC","Chief CRNA, TSA",https://www.linkedin.com/in/xavier-moreno-crna-drap-572a492
Terry Finch,,,Chief Architect at Abbott,https://www.linkedin.com/in/terry-finch-6a79104
Lynn Palmquist,,,Chief Scribe at ScribeAmerica,https://www.linkedin.com/in/lpalmquist
"Munish Kumar Raizada, MD, FAAP",Editor in Chief,NewsGram,"Neonatologist, Editor-in-Chief at NewsGram",https://www.linkedin.com/in/munishraizada
Heather Humphrey,Chief of Staff,Shire,Chief of Staff for CFO at Shire,https://www.linkedin.com/in/heather-humphrey-7a22735
John Christian,,,Fire Chief at Grayslake Fire Department,https://www.linkedin.com/in/john-christian-4b900220
