name,position,company,description,linkedin_url
"Barton Murphy, PMP, CSM",,,Chief Technology Officer at PriorAuthNow,https://www.linkedin.com/in/bartonmurphy
Mike Lanese,,,"Co-Founder/Chief Executive Officer at OnSeen Marketing, Inc.",https://www.linkedin.com/in/mikelanese
Elliot Schneier,Chief Operating Officer,LaunchRock,Chief Operating Officer at Startups.co,https://www.linkedin.com/in/elliotschneier
Tina Fisher,Founder & Chief Executive,Modalist,Co-Founder & Chief Executive at Modalist,https://www.linkedin.com/in/tina-fisher-194131
Ty Henkaline,Chief Analytics Innovator,Columbus Collaboratory,Chief Analytics Innovator at the Columbus Collaboratory,https://www.linkedin.com/in/tyhenkaline
Lev Gonick,Chief Executive Officer,DigitalC,"Chief Executive, DigitalC",https://www.linkedin.com/in/levgonick
Jeff Jacobs,"Chief Information Officer (CIO), Global Information Technology",OCLC,Chief Information Officer (CIO) at OCLC,https://www.linkedin.com/in/jeff-jacobs-354a943
Jeffrey M. Wilkins,,,"Chief Executive Officer at Facilities Management eXpress, LLC.",https://www.linkedin.com/in/jeffrey-m-wilkins-2b5418
Troy Gibson,"VP, Chief Enterprise Architect",NetJets,"VP, Chief Enterprise Architect at NetJets",https://www.linkedin.com/in/troy-gibson-b9225a
Roger Sears,,,Chief Executive Officer at Hyper IO,https://www.linkedin.com/in/rogersears
Rick Ritzler,,,Chief Talent Officer at ICC,https://www.linkedin.com/in/rickritzler
Phil Smith,,,Chief Operating Officer at Racksquared Data Centers,https://www.linkedin.com/in/epsmith001
Alyce Obee,"Relationship Manager, Office of the Chief Information Officer",The Ohio State University,"Relationship Manager, Office of the Chief Information Officer at The Ohio State University",https://www.linkedin.com/in/alycesnyder
Bill Gray,,,Chief Product Officer at Northwoods,https://www.linkedin.com/in/williamrgray
Drew Domecq,,,"Chief Information Officer at Bob Evans Farms, Inc.",https://www.linkedin.com/in/drew-domecq-22841a48
Trey Hakanson,,,Chief Product Officer at Hatchli,https://www.linkedin.com/in/trey-hakanson-a72985118
Bryan Smith,,,Senior Vice President and Chief Strategy Officer at Expedient,https://www.linkedin.com/in/bryankeithsmith
Mark Minehart,,,Chief Technology Officer at Heureka Software,https://www.linkedin.com/in/markminehart
"Venu Edupuganti , MCSD, CSM",Information Technology Manager | Chief Architect,State of Ohio - Department of Developmental Disabilities,Chief Technology Officer | Chief Architect,https://www.linkedin.com/in/venuedupuganti
Andrew Graf,Chief Product Strategist & Co-Founder,TeamDynamix,Chief Product Strategist & Co-Founder (agraf@teamdynamix.com),https://www.linkedin.com/in/andrew-graf-29b310
Dan Gifford,,,Chief Financial Officer at DASCO Home Medical Equipment,https://www.linkedin.com/in/dan-gifford-02251910
Michael DeAloia,Chief Executive Officer,The Front Porch People,Chief Executive Officer at The Front Porch People/Tech Czar,https://www.linkedin.com/in/techczar
Charlie Lougheed,Cofounder & President & Chief Strategy Officer,"Explorys, An IBM Company","Co-Founder, President & Chief Strategy Officer of Explorys (Now IBM Watson Health)",https://www.linkedin.com/in/lougheed
"Israel Arroyo M.S, CISSP, GPEN, CEH",,,"Operations Chief - Senior Enlisted Leader at Marine Forces Reserves, U.S. European Command",https://www.linkedin.com/in/israel-arroyo-m-s-cissp-gpen-ceh-a656b631
Jeff Canter,,,Chief Operating Officer at inContact,https://www.linkedin.com/in/jeff-canter-7409444
Christopher Carlson,Executive Vice President & Chief Operating Officer,Northwoods,Executive Vice President/Chief Operating Officer,https://www.linkedin.com/in/christophertcarlson
Jack W.,Chief Executive Officer,WINDSOR CONSULTING,"Consultant, Strategist, Coach & Chief Executive Officer WINDSOR CONSULTING",https://www.linkedin.com/in/soldout
Mary Kaufmann,,,Chief Learning Officer at Pillar Technology,https://www.linkedin.com/in/mary-kaufmann-305b844
Bryant K Young,,,Vice President & Chief Technology Officer at PSI (Proteam Solutions Inc),https://www.linkedin.com/in/bryant-k-young-5440094
David White,Chief Information Officer,Battelle,"VP, Chief Information Officer at Battelle",https://www.linkedin.com/in/dlewiswhite
