name,position,company,description,linkedin_url
"Arshya Vahabzadeh, M.D.",Chief Medical Officer,Brain Power LLC,"Chief Medical Officer @ Brain Power _ÙÔ¬‰Ûç‰_¥•üè_Ùè´ Physician & Faculty, Harvard Medical School _ÙèÇ Digital & Augmented Reality Mental Health Research _Ù÷__ÙÒ__ÙÔ¬‰Ûç_ÙÓÂ",https://www.linkedin.com/in/arshyav/
"Michael V. Genovese, MD, JD",Chief Medical Advisor Recovery Division,Acadia Healthcare,Chief Medical Advisor Acadia Healthcare Recovery Division,https://www.linkedin.com/in/michael28/
"Richard Loomis, MD",Chief Medical Officer,Practice Fusion,Chief Medical Officer,https://www.linkedin.com/in/loomismd/
"Stacy Richardson, PhD LPC LMFT ICADC LGBC",,,Chief Officer for Outpatient Programs at Momentum for Mental Health,https://www.linkedin.com/in/stacy-richardson/
Dick Daniels,,,"Executive Vice President, Chief Information Officer at Kaiser Permanente",https://www.linkedin.com/in/dick-daniels-37806615/
Rich Roth,Chief Strategic Innovation Officer,Dignity Health,Chief Strategic Innovation Officer | Dignity Health,https://www.linkedin.com/in/rich-roth-0258b48/
"Deanna Wise, PMP",EVP & Chief Information Officer,Dignity Health formerly known as Catholic Healthcare West,EVP & Chief Information Officer at Dignity Health formerly Catholic Healthcare West,https://www.linkedin.com/in/deanna-wise-pmp-a416154/
Arra G. Yerganian,,,Chief Marketing & Branding Officer at Sutter Health,https://www.linkedin.com/in/arra-g-yerganian-2b444b5/
Ije-Enu Udeze Nwosu,"Chief of Staff, Office of the CEO/ Executive Director, Infrastructure and Management",Kaiser Permanente,"Chief of Staff, Office of the CEO / Executive Director, Infrastructure and Management at Kaiser Permanente",https://www.linkedin.com/in/udeze/
Michael Collins,Chief Clinical Officer / Chief Nursing Officer,Vibra Hospital,"Chief Clinical Officer/Chief Nursing Officer, Certified JMT Leadership Coach and Speaker, Board Member",https://www.linkedin.com/in/michaelcollins17/
Deborah Kilpatrick,Chief Executive Officer and Director,Evidation Health,Chief Executive Officer at Evidation Health,https://www.linkedin.com/in/deborahlkilpatrick/
R Andrew Eckert,,,Chief Executive Officer at Acelity,https://www.linkedin.com/in/r-andrew-eckert-b3845523/
Ken Tarkoff,,,Chief Executive Officer at Syapse,https://www.linkedin.com/in/ken-tarkoff-14b2253/
Bevey Miner,Chief Marketing Officer,Practice Fusion,"Chief Marketing Officer, Practice Fusion",https://www.linkedin.com/in/bevey-miner-7074688/
Sumbul Ahmad Desai,"Vice Chair, Strategy and Innovation & Chief, Stanford Center for Digital Health",Stanford University School of Medicine,"Vice Chair, Department of Medicine and Chief Digital Officer, Stanford Center for Digital Health",https://www.linkedin.com/in/sumbul-ahmad-desai-5b1663/
"Dale E. Beatty, DNP, RN, NEA-BC",Stanford Health Care Chief Nursing Officer / Vice President,Stanford Health Care,Stanford Health Care Chief Nursing Officer - Doctor of Nursing Practice,https://www.linkedin.com/in/dale-e-beatty-dnp-rn-nea-bc-6667718/
Megan Callahan,,,Chief Strategy Officer at Change Healthcare,https://www.linkedin.com/in/meganacallahan/
Michelle Snyder,"SVP, Chief Marketing Officer","Welltok, Inc.",Chief Marketing Officer at Welltok,https://www.linkedin.com/in/michelle-snyder-ba5893/
Todd Johnson,,,"Chief Executive Officer at HealthLoop, Inc.",https://www.linkedin.com/in/toddjohnson10/
"Jeanie M Larson, CISSP-ISSMP, CISM, CRISC",Chief Information Security Officer,UC Davis Medical Center,Chief Information Security Officer UCDMC,https://www.linkedin.com/in/jeaniemlarson/
Gary Robinson,,,Executive Vice President and Chief Marketing Officer at HealthEquity,https://www.linkedin.com/in/gary-robinson-1702a65/
Kouki Harasaki,,,Chief Operating Officer at Medal,https://www.linkedin.com/in/kharasaki/
Paul Tang,,,"Vice President, Chief Health Transformation Officer at IBM Watson Health",https://www.linkedin.com/in/paultang/
Daniella Perlroth,,,Chief Strategy Officer at Lyra Health,https://www.linkedin.com/in/daniella-perlroth-4b071452/
"J. Nwando Olayiwola, MD, MPH",Chief Clinical Transformation Officer,RubiconMD,Chief Clinical Transformation Officer at RubiconMD; Senior Clinical Transformation Consultant at OneCity Health,https://www.linkedin.com/in/jancony/
Vanessa Benavides,,,"Senior Vice President, Chief Compliance & Privacy Officer at Kaiser Permanente",https://www.linkedin.com/in/vanessa-benavides-a446b52/
Stephen Forney,,,Chief Financial Officer at Verity Health System,https://www.linkedin.com/in/stforney/
Andrei Soran,,,Chief Executive Officer at Verity Health System,https://www.linkedin.com/in/asoran/
Robert Fahlman,Chief Executive Officer,Preferred Homecare / Lifecare Solutions,"Chief Executive Officer at Preferred Homecare, LifeCare Solutions",https://www.linkedin.com/in/robertfahlman/
Seth Bokser,,,Chief Medical Officer at Oneview Healthcare,https://www.linkedin.com/in/seth-bokser-7b04ba9/
Jeff Trudeau,Chief Information Security Officer - Sutter Health Bay Area,Sutter Health,"Chief Information Security Officer (CISO), Sutter Health, Bay Area",https://www.linkedin.com/in/jefftrudeaucissp/
Geoff McHugh,,,Chief Commercial Officer at Docent Health,https://www.linkedin.com/in/geoff-mchugh-8044182/
Mark Zielazinski,,,Chief Information & Technology Integration Officer at Marin General Hospital,https://www.linkedin.com/in/mark-zielazinski-2414922/
Lori Armstrong,Chief Nursing Executive,Kaiser Permanente,Chief Nurse Executive at Kaiser Permanente,https://www.linkedin.com/in/armstronglori/
"Jimmy D. Watson, Sr., MHA, CPXP","Regional Vice President, Chief Patient Experience Officer",St Joseph Hospital,Regional Chief Patient Experience Officer at Providence St. Joseph Health,https://www.linkedin.com/in/jimmydwatsonsr/
Michael Skaff,,,Chief Information Officer at Jewish Senior Living Group,https://www.linkedin.com/in/mskaff/
Tracey Lewis Taylor,Chief Operating Officer,Stanford Health Care - ValleyCare,Chief Operating Officer,https://www.linkedin.com/in/tracey-lewis-taylor-7720b2a/
Megan Zimmermann,Chief Of Staff,Kaiser Permanente,Chief Of Staff Kaiser Permanente IT,https://www.linkedin.com/in/megan-zimmermann-29b9385/
