name,position,company,description,linkedin_url
b'Dan Manges',b'Cofounder & CTO',b'Root',"b'Assembling a team of exceptional engineers in Columbus to build Root. Formerly, founding CTO of Braintree.'",b'tps://www.linkedin.com/in/dmanges'
b'Christopher Judd',b'',b'',b'Chief Technical Officer (CTO)/Partner at Manifest Solutions',b'tps://www.linkedin.com/in/christophermjudd'
b'Chris Yuska',b'',b'',b'CTO at Kit & Coffee',b'tps://www.linkedin.com/in/chrisyuska'
b'Shawn Fultz',b'CTO',"b'Mace Innovations, LLC'",b'CTO at Mace Innovations',b'tps://www.linkedin.com/in/shawnfultz'
b'Raja Krishnamurthy',b'',b'',"b'CTO, Application Development at Ventech Solutions Inc.'",b'tps://www.linkedin.com/in/raja-krishnamurthy-50052010'
b'Kevin McCartney',b'',b'',b'CTO at BYBE Inc.',b'tps://www.linkedin.com/in/kevinmccartney2'
b'Mac Liaw',b'',b'',b'CTO at DelphicDB',b'tps://www.linkedin.com/in/macliaw'
b'Nicholas Tietz-Sokolsky',b'Co-founder and CTO',b'DACA Time',b'Entrepreneur and software consultant',b'tps://www.linkedin.com/in/nicholastietz'
b'Benjamin Clarke',"b'Co-Founder, President + CTO'","b'The Shipyard, LLC'",b'Digital | Data | Tech | Media',b'tps://www.linkedin.com/in/benjaminjclarke'
"b'Adam Winter, PMP'",b'CTO',"b'Clarus Solutions, LLC'",b'Management and IT Consultant',b'tps://www.linkedin.com/in/adamwinter'
"b'John Farhat, MSc'",b'Executive Consulting',b'Farhat Services Company',b'Executive Consultant FSCIX',b'tps://www.linkedin.com/in/john-farhat-msc-3910751'
b'Ray Trask',"b'Co-founder, Creative Problem Solver, CTO'",b'FunnWare Development',b'Co-Founder/New Product Development/Technical Director',b'tps://www.linkedin.com/in/raytrask'
b'Tom Carpenter',b'',b'',b'CTO at CWNP',b'tps://www.linkedin.com/in/wifitom'
b'Randy Harvey',b'Executive Vice President & CTO',b'IHS Markit',"b'Executive Vice President and CTO, IHS Markit'",b'tps://www.linkedin.com/in/randy-harvey-42637a1'
b'Louise Elliott',b'Founder & Chief Transformational Officer (CTO)',b'CareerPowerShift LLC',b'Chief Transformational Officer (CTO)',b'tps://www.linkedin.com/in/elliottlouise'
b'Paul Timmerman',b'CTO and SVP of Technology',b'AdvizeX Technologies',b'CTO and SVP of Technology',b'tps://www.linkedin.com/in/paul-timmerman-9557093'
"b'Stephen Guendert, Ph.D'",b'Principal Director and z Systems CTO',b'Brocade',b'z Systems Solutions CTO at Brocade. Mainframe Hall of Fame inductee.',b'tps://www.linkedin.com/in/stephenguendert'
b'Val Matula',b'CTO and General Manager -- Emerging Products and Technology',b'Avaya',b'CTO and General Manager -- Emerging Products & Technology at Avaya',b'tps://www.linkedin.com/in/val-matula-662b6'
b'Jason Kerns',b'',b'',b'CTO at Prevedere Inc.',b'tps://www.linkedin.com/in/jason-kerns-4208441'
b'Hassan Arshad',b'',b'',b'CTO at Accure Technologies',b'tps://www.linkedin.com/in/hassan-arshad-63640a10b'
b'Nilanjan Raychaudhuri',"b'Co-founder of StepItUp, CTO of ForgeX'",b'Forgex.org',b'CTO at Forgex.org',b'tps://www.linkedin.com/in/nraychaudhuri'
b'Jeff R. Lamb',b'Nerd (CTO)',b'DOmedia',b'CTO at DOmedia',b'tps://www.linkedin.com/in/jeffrlamb'
b'Sunil Raja',"b'CTO Reliant Software(Eastern Division), part of Community Choice Financial Inc'","b'Community Choice Financial, Inc.'","b'CTO at Community Choice Financial, Inc.'",b'tps://www.linkedin.com/in/sunilgraja'
b'Dan Schneider',b'VP & CTO Specialty Sales',b'PCM',b'VP & CTO Specialty Sales',b'tps://www.linkedin.com/in/dan-schneider-66b6107'
b'James Hayes',b'CTO',"b'Metro Data Center, LLC'",b'CTO at Metro Data Center',b'tps://www.linkedin.com/in/jamesmhayes'
b'Michael Caral',b'',b'',"b'Field CTO at RoundTower Technologies, Inc.'",b'tps://www.linkedin.com/in/michael-caral-459256'
b'Ryan Memmelaar',b'',b'',b'CTO at SmartCrowdz',b'tps://www.linkedin.com/in/ryan-memmelaar-b889923'
b'Shawn Price',b'Co-founder & CTO',b'Healthy Roster',b'CTO at Healthy Roster',b'tps://www.linkedin.com/in/shawntprice'
b'Kurt Camealy',b'CTO',b'thinkCSC',b'CTO of thinkCSC',b'tps://www.linkedin.com/in/kurt-camealy-30b9657'
b'Craig Finck',b'',b'',"b'CTO/Chief Architect/Technical Lead at Allen, Williams & Hughes Company (AWH)'",b'tps://www.linkedin.com/in/craigfinck'
b'Benjamin Montello',b'',b'',"b'CTO LMS Services at Xcelerate Media, Inc.'",b'tps://www.linkedin.com/in/benjamin-montello-90618262'
b'Teresa Hamid',"b'VP, CTO North America Cognitive Innovation Center'",b'IBM',"b'IBM VP, Distinguished Engineer, CTO North America Cognitive Innovation Center'",b'tps://www.linkedin.com/in/teresa-hamid-9701981'
b'Dan Thiery',b'',b'',b'Co-Founder & CTO at EduSourced',b'tps://www.linkedin.com/in/danthiery'
b'Roy Slagle',b'CTO',b'Taivara | Innovation Consulting | New Product Development & Commercialization at Taivara',b'CTO at Taivara',b'tps://www.linkedin.com/in/roy-slagle-1a46906'
b'Mike Ravagnani',b'',b'',b'CTO at Revolution Group',b'tps://www.linkedin.com/in/ravagnani'
b'Nathan Poeppelman',b'CTO',b'Acehopper',"b'CTO at Acehopper, Inc'",b'tps://www.linkedin.com/in/nathanpoeppelman'
b'Fernando Velado',"b'CTO and Sr. Consultant, Strategy and Enterprise Architecture'","b'Market Spectrum, Inc.'","b'CTO and Sr. Consultant, Strategy and Enterprise Architecture'",b'tps://www.linkedin.com/in/fernando-velado-133462b'
b'Adam Morris',b'',b'',"b'CTO at Asset Strategies Group, LLC'",b'tps://www.linkedin.com/in/amorris'
b'Jeremy Jones',b'CTO',b'RoofSnap',"b'CTO at RoofSnap, LLC'",b'tps://www.linkedin.com/in/jeremy-jones-b3b675a0'
b'Marty Laroche',b'',b'',b'CTO at eRetailing Associates LLC',b'tps://www.linkedin.com/in/marty-laroche-71480939'
b'Sam Wooster',b'CIO/CTO',b'RDorsey',b'CTO/CIO of RDorsey',b'tps://www.linkedin.com/in/sam-wooster-684b51'
b'Mike Cush',b'',b'',b'CTO at ISOdx Solutions',b'tps://www.linkedin.com/in/mikecush'
b'William Henry',b'CTO',b'iQventures',b'CTO',b'tps://www.linkedin.com/in/william-henry-13843a32'
b'Alon Ganon',b'CTO',b'Being Libertarian LLC',b'CTO of Being Libertarian LLC',b'tps://www.linkedin.com/in/alonganon'
b'Keith Shafer',b'',b'',"b'CTO Americas Eagle Team, IT Economics Practice at IBM'",b'tps://www.linkedin.com/in/keith-shafer-5356783'
b'Andrew Pang',b'CTO',"b'SparkParc, Inc.'","b'Student at The Ohio State University / CTO at SparkParc, Inc.'",b'tps://www.linkedin.com/in/panger95'
b'Dan Stout',"b'Co-Founder, CTO'",b'CU-centric',"b'Co-Founder, CTO at CU-centric, LLC'",b'tps://www.linkedin.com/in/dan-stout-9b95659'
b'Victor Vins',b'',b'',"b'CTO at Tradovate Technologies, LLC'",b'tps://www.linkedin.com/in/victor-vins-6a19624'
b'David Priest',b'CTO',"b'Digital Data Technologies, Inc.'",b'CTO at Digital Data Technologies Inc',b'tps://www.linkedin.com/in/david-priest-ab024828'
b'LinkedIn Member',b'',b'',b'',b''
b'Jonny Roller',b'',b'',"b'CTO at E Space Communications, Inc.'",b'tps://www.linkedin.com/in/jonny-roller-36b1b75'
b'Griffen Holt',b'',b'',b'CTO at GroupEleven',b'tps://www.linkedin.com/in/griffenholt'
b'Ryan Teal',b'',b'',b'Architect - Office of the CTO / Chairman - Nationwide Technology Standards Board',b'tps://www.linkedin.com/in/ryanteal'
b'Tom Daft',b'CTO',b'SoftArt LLC',b'Owner/President/CTO SoftArt LLC',b'tps://www.linkedin.com/in/tom-daft-4b3aa29'
b'John Gard',b'',b'',b'Co-Owner & CTO at Incito Solutions',b'tps://www.linkedin.com/in/john-gard-52a0b988'
b'Scott Emmelhainz',b'CTO',b'NMP Technology',"b'CTO & Founder, NMP Technology'",b'tps://www.linkedin.com/in/scott-emmelhainz-97b11437'
b'Neil F.',b'CTO',"b'eFriend Marketing, LLC'","b'CTO at eFriendMarketing, LLC'",b'tps://www.linkedin.com/in/neil-f-7a02a81'
b'Mark Deek',b'',b'',b'CTO at Megalotech',b'tps://www.linkedin.com/in/mark-deek-a4aa5b10'
b'Justin Brown',b'',b'',b'C.T.O. at Murphy-Brown Computers LLC',b'tps://www.linkedin.com/in/justin-brown-210190b7'
b'LinkedIn Member',b'',b'',b'',b''
b'Tom Daft',b'',b'',"b'President, CTO at SoftArt LLC'",b'tps://www.linkedin.com/in/tomdaft'
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'President and CTO',b'Tech EXPO-JPM Group',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'Tim Cunningham',"b'CTO, Managing Director'",b'JPMorgan Chase',"b'Chief Information Officer, Grange Insurance'",b'tps://www.linkedin.com/in/tim-cunningham-6a058510'
b'Brendan Gualdoni',b'Co-Founder/CTO',b'FrontBurnr',"b'Director of Engineering, eCommerce at EXPRESS'",b'tps://www.linkedin.com/in/brendangualdoni'
b'Jim Welch',b'Consultant - Contract CTO',"b'Freelance: on-demand, location based services, mapping, and telematics'",b'Mobility Services | Location Based Services | Connected Car | Autonomous Driving | Mobile',b'tps://www.linkedin.com/in/jimwelch'
b'Jim Beidler',"b'Vice President of Information Technology (interim), Chief Technology Officer (CTO)'",b'Columbus State Community College',b'Chief Technology Officer at Columbus State Community College',b'tps://www.linkedin.com/in/jim-beidler-4737bb8'
b'William Diederich',"b'Founder, CIO CTO CISO'",b'CIO for You - CISO for You',"b'Technology Visionary, Security Expert, C-level Executive'",b'tps://www.linkedin.com/in/williamdiederich'
b'Matt Wyen',b'CTO/Principal',b'Simplicity Virtual LLP',b'Chief Technology Officer at Simplicity Virtual',b'tps://www.linkedin.com/in/matthewwyen'
b'Rick Hulse',b'Interim CTO',b'MedComplianceIQ',"b'President and CEO at Rampart Hosting, LLC'",b'tps://www.linkedin.com/in/rick-hulse-a982658'
b'Ravi Sony',b'CTO - HPE Software Services',b'Hewlett Packard Enterprise',b'Chief Technologist - HPE Software Services',b'tps://www.linkedin.com/in/ravisony'
b'Carl Lewis',"b'CTO, co-founder'",b'StreamSavvy',b'CIO at Vest',b'tps://www.linkedin.com/in/carl-lewis-b868455'
b'Matthew Rowe',b'CTO',b'RevLocal',b'Seasoned and Excited Systems Minded Executive',b'tps://www.linkedin.com/in/matthew-rowe-3b97316'
b'Abram Cookson',b'CTO / Co-Founder',"b'MedPAC Technologies, Inc.'",b'Servant Leader at Fuse Dublin / Fuse Des Moines',b'tps://www.linkedin.com/in/abramcookson'
b'Rukmangadhar (Ruk) Neelam',"b'Architect, Office of Enterprise Applications CTO'",b'Nationwide Insurance',b'Enterprise Architect at Nationwide Insurance',b'tps://www.linkedin.com/in/ruk-neelam-scpm'
b'Brent Hinks',b'CTO',b'The Actual Brewing Company',b'Software Development Manager at Mitratech',b'tps://www.linkedin.com/in/brenthinks'
b'Forest Kunecke',"b'Co-Founder, CTO'",b'Resintell Technologies',b'Always learning',b'tps://www.linkedin.com/in/forest-kunecke-101b6352'
b'Jason Gilbreath',"b'CTO, Software Architect'",b'Open To Innovative Technology Opportunities at Seeking New Position',b'Open To Innovative Technology Opportunities at Seeking New Position',b'tps://www.linkedin.com/in/jason-gilbreath-8451883'
b'Aaron Kaka',"b'Co-Founder, CTO of sALLvit\xe2\x84\xa2 Search'","b'sALLvit [SOLVE IT], LLC'",b'Solutions Architect at Pearson',b'tps://www.linkedin.com/in/aaronkaka'
b'Barret Blake',b'Chief Technical Officer (CTO)',b'Capture Education',b'Chief Technical Officer',b'tps://www.linkedin.com/in/barretblake'
b'Bruce Westbrook',b'President / CTO',"b'NexGen Systems, Inc.'","b'Information Security & Technology Consultant (CISM, CISSP)'",b'tps://www.linkedin.com/in/brucewestbrook'
b'Jeff Kish',b'CTO',b'DSD Professional Development',b'IT Specialist at DSDPD',b'tps://www.linkedin.com/in/jeff-kish-8154795'
b'Victoria Loewengart',b'CTO',b'Analytics Inside',b'COO at Analytics Inside',b'tps://www.linkedin.com/in/vloewengart'
b'Mike Castaldi',b'Principal/CTO',b'Wild Frog Consulting',b'Mac Business Expert For Central Ohio',b'tps://www.linkedin.com/in/mikecastaldi'
