name,position,company,description,linkedin_url
b'Dan Manges',b'Cofounder & CTO',b'Root',"b'Assembling a team of exceptional engineers in Columbus to build Root. Formerly, founding CTO of Braintree.'",b'tps://www.linkedin.com/in/dmanges'
b'Christopher Judd',b'',b'',b'Chief Technical Officer (CTO)/Partner at Manifest Solutions',b'tps://www.linkedin.com/in/christophermjudd'
b'Larry Scott',b'Co-Founder and CTO',b'ScriptDrop',"b'Co-Founder and CTO, ScriptDrop'",b'tps://www.linkedin.com/in/lscott3'
b'Matt Grover',b'CTO',b'clarivoy',b'CTO at Clarivoy',b'tps://www.linkedin.com/in/mdgrover'
b'Chris Yuska',b'',b'',b'CTO at Kit & Coffee',b'tps://www.linkedin.com/in/chrisyuska'
b'Jason Montgomery',b'',b'',b'Co-founder & CTO at Nexosis',b'tps://www.linkedin.com/in/jmonty'
b'Ian Berry',"b'Founder, CTO'",b'Notion AI',"b'Startup Founder, CTO at Notion'",b'tps://www.linkedin.com/in/iankberry'
b'Shawn Fultz',b'CTO',"b'Mace Innovations, LLC'",b'CTO at Mace Innovations',b'tps://www.linkedin.com/in/shawnfultz'
b'Raja Krishnamurthy',b'',b'',"b'CTO, Application Development at Ventech Solutions Inc.'",b'tps://www.linkedin.com/in/raja-krishnamurthy-50052010'
b'Kevin McCartney',b'',b'',b'CTO at BYBE Inc.',b'tps://www.linkedin.com/in/kevinmccartney2'
b'Sam Wooster',b'CIO/CTO',b'RDorsey',b'CTO/CIO of RDorsey',b'tps://www.linkedin.com/in/sam-wooster-684b51'
"b'Todd Kueny, Sr.'",b'',b'',"b'Owner, CTO, VP Software at Lexigraph, Inc.'",b'tps://www.linkedin.com/in/toddrkuenysr'
b'Mac Liaw',b'',b'',b'CTO at DelphicDB',b'tps://www.linkedin.com/in/macliaw'
b'Nicholas Tietz-Sokolsky',b'Co-founder and CTO',b'DACA Time',b'Entrepreneur and software consultant',b'tps://www.linkedin.com/in/nicholastietz'
"b'Adam Winter, PMP'",b'CTO',"b'Clarus Solutions, LLC'",b'Management and IT Consultant',b'tps://www.linkedin.com/in/adamwinter'
"b'John Farhat, MSc'",b'Executive Consulting',b'Farhat Services Company',b'Executive Consultant FSCIX',b'tps://www.linkedin.com/in/john-farhat-msc-3910751'
b'Carl Lewis',"b'CTO, co-founder'",b'StreamSavvy',b'CIO at Vest',b'tps://www.linkedin.com/in/carl-lewis-b868455'
b'Ray Trask',"b'Co-founder, Creative Problem Solver, CTO'",b'FunnWare Development',b'Co-Founder/New Product Development/Technical Director',b'tps://www.linkedin.com/in/raytrask'
b'Tony Robinson',"b'Senior Vice President of Technology, Cyber Security and Compliance (CISO), Deputy CTO'","b'Autonomous_ID, www.autonomousid.com'",b'Chief Information Security Officer \xe2\x97\x8f CISO \xe2\x97\x8f Cyber Security Evangelist \xe2\x97\x8f CTO \xe2\x97\x8f Entrepreneur',b'tps://www.linkedin.com/in/tony-robinson-095b7411'
b'Jon Oberheide',b'Co-Founder & CTO',b'Duo Security',"b'Co-Founder & CTO, Duo Security'",b'tps://www.linkedin.com/in/jonoberheide'
b'Christopher Carey',b'CTO & Business Development',b'PC Treasures Inc.',b'CTO and Business Development',b'tps://www.linkedin.com/in/ccarey76'
b'Tom Carpenter',b'',b'',b'CTO at CWNP',b'tps://www.linkedin.com/in/wifitom'
b'Louise Elliott',b'Founder & Chief Transformational Officer (CTO)',b'CareerPowerShift LLC',b'Chief Transformational Officer (CTO)',b'tps://www.linkedin.com/in/elliottlouise'
b'Peter Jackson',b'CTO',b'Shibumi',b'CTO',b'tps://www.linkedin.com/in/mrpetercjackson'
b'Paul Timmerman',b'CTO and SVP of Technology',b'AdvizeX Technologies',b'CTO and SVP of Technology',b'tps://www.linkedin.com/in/paul-timmerman-9557093'
b'Nate Oostendorp',b'Founder and CTO',b'Sight Machine',"b'Co-Founder, CTO Sight Machine'",b'tps://www.linkedin.com/in/nateoostendorp'
b'Jared Brown',b'',b'',"b'President & CTO at My Personal Network, LLC'",b'tps://www.linkedin.com/in/jaredbrown'
"b""Kevin O'Hara""",b'CTO',b'LevelEleven',"b'CTO, LevelEleven // Salesforce MVP'",b'tps://www.linkedin.com/in/kevinmohara'
b'Samuel Antoun',"b'CTO & NA Practice Leader - Cognitive Process Transformation, IBM Global Business Services'",b'IBM',b'CTO - Cognitive Process Transformation',b'tps://www.linkedin.com/in/samantoun'
b'Chris Szymansky',b'',b'',b'CTO at JazzHR',b'tps://www.linkedin.com/in/chrisszymansky'
b'Andy Fowler',b'CTO',b'Nutshell',"b'Cofounder, CTO at Nutshell'",b'tps://www.linkedin.com/in/andyfowler'
b'Joel Powell',b'',b'',b'Vice President of Information Technology - Software Development - CTO at RepairClinic.com',b'tps://www.linkedin.com/in/joel-powell'
b'Rick Kotermanski',b'CTO',b'Summa Technologies',b'CTO at Summa',b'tps://www.linkedin.com/in/rickkotermanski'
b'Chase Lee',b'Co-founder & CTO',b'Ambassador',"b""CTO at Ambassador (Techstars NY '11)""",b'tps://www.linkedin.com/in/umchaselee'
b'Colton Voege',b'CTO and Co-Founder',b'Mimir (YC S15)',b'CTO at Mimir',b'tps://www.linkedin.com/in/colton-voege-15a039b2'
b'Steve Schwartz',"b'Co-founder, CTO'",b'GENOMENON',"b'Co-founder, CTO at Genomenon Inc.'",b'tps://www.linkedin.com/in/jangosteve'
b'Adam Hutcheson',b'CTO',b'Kalibrate',"b'CTO/CIO, Product Leader, Angel Investor'",b'tps://www.linkedin.com/in/adam-hutcheson-2414a23'
b'Mat Gangwer',b'CTO',b'Rook Security',b'CTO - Rook Security',b'tps://www.linkedin.com/in/matgangwer'
b'Mark Holt',b'',b'',"b'Virtual CTO, SmartSource at RealPage, Inc.'",b'tps://www.linkedin.com/in/markjholt'
b'Rakesh Thapar',b'CTO',b'Timesys Corporation',"b'CTO, Timesys (USA) & MD, 4ES Technologies LLP (India)'",b'tps://www.linkedin.com/in/rthapar'
b'Andrew Rabin',b'',b'',"b'VP CTO at Premier, Inc'",b'tps://www.linkedin.com/in/andrew-rabin-0a340b1'
b'Russell Wangler',b'CTO',b'7SIGNAL',b'CTO 7SIGNAL',b'tps://www.linkedin.com/in/russellwangler'
b'Detlef Koll',b'',b'',b'CTO at M*Modal',b'tps://www.linkedin.com/in/detlefkoll'
b'Frank Macreery',b'',b'',"b'Co-founder, CTO at Aptible'",b'tps://www.linkedin.com/in/fancyremarker'
b'Norman Joyner',b'',b'',b'Co-Founder & CTO at Containership',b'tps://www.linkedin.com/in/normanjoyner'
b'Gregory Svitak',b'CTO',b'Complion',b'CTO at Complion | Started Idea Innovations',b'tps://www.linkedin.com/in/gsvitak'
b'Matt Brown',b'',b'',b'CTO at Quantifi Inc.',b'tps://www.linkedin.com/in/mattbrownindy'
b'Scott Meves',b'',b'',b'Co-Founder & CTO at Quikly',b'tps://www.linkedin.com/in/stereo'
b'Paul Fonte',b'',b'',b'CTO at Cambium Learning Group',b'tps://www.linkedin.com/in/pfonte'
b'Brian Taylor',b'',b'',b'Co-Founder | CTO at Kainui Canoe',b'tps://www.linkedin.com/in/decentralizationarchitect'
b'Chris Sullivan',b'',b'',b'CTO at Asurint',b'tps://www.linkedin.com/in/csullivan8'
b'Marc Mojica',b'Chief Technology Officer (CTO)',"b'Saagara, LLC'","b'Chief Technology Officer CTO, Entrepreneur, Computer Engineer'",b'tps://www.linkedin.com/in/marcmojica'
b'Panayiotis Neophytou',b'Co-Founder and CTO',b'NetBeez',b'CTO at NetBeez (We are hiring!)',b'tps://www.linkedin.com/in/panickos'
b'Joe Eggleston',b'',b'',b'Co-Founder and CTO at Deepfield',b'tps://www.linkedin.com/in/joeeggleston'
b'James Miller',"b'Vice President CTO Cloud, Workload, Platforms, and ITO'",b'DXC Technology',"b'Vice President CTO Cloud, Workload, Platforms, and ITO'",b'tps://www.linkedin.com/in/jwolverine'
b'Parag Jagdale',b'',b'',b'Co-Founder and CTO at Unific',b'tps://www.linkedin.com/in/paragjagdale'
b'Matt McDonald',b'',b'',b'CTO at Detroit Trading Company',b'tps://www.linkedin.com/in/mattmcdonald'
b'Josh Gretz',b'',b'',b'CTO at Truefit',b'tps://www.linkedin.com/in/joshgretz'
b'Doug Yoder',b'CTO',b'Wastebits',b'CTO',b'tps://www.linkedin.com/in/douglasryoder'
b'Eric Sendelbach',b'',b'',b'CTO at MOBI Wireless Management',b'tps://www.linkedin.com/in/eric-sendelbach-5080892'
b'Nilanjan Raychaudhuri',"b'Co-founder of StepItUp, CTO of ForgeX'",b'Forgex.org',b'CTO at Forgex.org',b'tps://www.linkedin.com/in/nraychaudhuri'
b'Tomer Borenstein',b'',b'',b'Co-founder and CTO at BlastPoint',b'tps://www.linkedin.com/in/tomer-borenstein-619648aa'
b'Darye Henry',b'CTO',b'DeveloperTown Starts',b'CTO @ DT Starts',b'tps://www.linkedin.com/in/darye'
b'LinkedIn Member',b'',b'',b'',b''
b'John Voytko',b'',b'',b'CTO and VP Product Management at Better Body Image Inc.',b'tps://www.linkedin.com/in/johnvoytko'
b'Jason Rogers',b'',b'',b'CTO at Upper Hand',b'tps://www.linkedin.com/in/jacaetevha'
b'Hassan Arshad',b'',b'',b'CTO at Accure Technologies',b'tps://www.linkedin.com/in/hassan-arshad-63640a10b'
b'Sunil Raja',"b'CTO Reliant Software(Eastern Division), part of Community Choice Financial Inc'","b'Community Choice Financial, Inc.'","b'CTO at Community Choice Financial, Inc.'",b'tps://www.linkedin.com/in/sunilgraja'
b'Michael Cham',b'Cofounder/CTO',b'Blenderhouse',"b'CTO, Encentiv Energy,BlenderHouse; Principal JWMC CG'",b'tps://www.linkedin.com/in/michaelcham'
b'Sudhir Ancha',b'Co-Founder and CTO',b'VistaEdge Technologies',b'Co-Founder and CTO',b'tps://www.linkedin.com/in/w3expert'
b'Ed Saipetch',"b'Senior Director, Office of the CTO'",b'IBM Bluemix Private Cloud at IBM',"b'Senior Director, Office of the CTO at Blue Box, an IBM Company'",b'tps://www.linkedin.com/in/edsaipetch'
b'Mack Earnhardt',b'Technology Strategist | Virtual CTO',b'Agile Reasoning',b'Technology Strategist | Virtual CTO',b'tps://www.linkedin.com/in/mackearnhardt'
b'Sachin Sharma',b'Co-Founder and CTO',b'AQIES Technologies',b'\xe2\x80\xa2Co-Founder and CTO at AQIES Technologies',b'tps://www.linkedin.com/in/sachin-sharma-470a3a30'
b'Josh Beach',b'',b'',b'CTO at Amplifinity',b'tps://www.linkedin.com/in/joshdbeach'
b'John Chmura',b'',b'',b'CTO & Chief Data Scientist at Chmura Economics & Analytics',b'tps://www.linkedin.com/in/jchmura'
b'David Webber',b'',b'',b'Co-Founder & CTO at UpTo',b'tps://www.linkedin.com/in/davidwebber'
b'James Hayes',b'CTO',"b'Metro Data Center, LLC'",b'CTO at Metro Data Center',b'tps://www.linkedin.com/in/jamesmhayes'
b'Dan Schneider',b'VP & CTO Specialty Sales',b'PCM',b'VP & CTO Specialty Sales',b'tps://www.linkedin.com/in/dan-schneider-66b6107'
b'Michael Uzquiano',b'',b'',"b'CTO, Founder at Cloud CMS'",b'tps://www.linkedin.com/in/uzquiano'
b'Scott Weinstein',b'',b'',b'Field CTO and Global Principal Architect at Dell Technologies',b'tps://www.linkedin.com/in/scottrweinstein'
b'Mike Seifert',b'Managing Member & CTO',b'StreamLinx',b'Managing Member & CTO at Streamlinx LLC',b'tps://www.linkedin.com/in/mike-seifert-468347'
b'Michael Caral',b'',b'',"b'Field CTO at RoundTower Technologies, Inc.'",b'tps://www.linkedin.com/in/michael-caral-459256'
b'Ryan Krass',b'CTO',b'WOW!brands',"b'CTO - PHP, iPhone/Android App, Drupal, Joomla, Magento, Wordpress Development'",b'tps://www.linkedin.com/in/ryankrass'
b'Davis Ford',b'',b'',b'CTO & Director at emaginePOS',b'tps://www.linkedin.com/in/davisford'
b'Victor Nemirovsky',b'Co-founder & CTO',"b'iRule, LLC'",b'Co-founder & CTO at iRule and On Controls',b'tps://www.linkedin.com/in/victor-nemirovsky-75b545'
b'Matt Howe',b'',b'',b'CTO at GreenLancer',b'tps://www.linkedin.com/in/maaatthowe'
b'Alex Goga',b'CTO and Co-Principal',b'Indy BI',b'CTO of Indy BI | Principal of Gogalex',b'tps://www.linkedin.com/in/alexgoga'
b'Stefanie Warzecha',b'Co-Founder & CTO',b'backstitch Inc.',b'Co-Founder and CTO at backstitch Inc. (Techstars 2016)',b'tps://www.linkedin.com/in/stefaniewarzecha'
b'Kristopher Ciccarello',"b'CTO, Co-Founder'",b'Wisr Inc.',"b'CTO, Co-Founder at Wisr'",b'tps://www.linkedin.com/in/kristopher-ciccarello-9529726'
b'Andreas Schmid',b'Interim CTO',b'Paketfrei',b'Experienced Founder and CTO looking for entrepreneurial opportunities in Pittsburgh',b'tps://www.linkedin.com/in/andreasschmid1980'
