name,position,company,description,linkedin_url
Darren Dworkin,,,Chief Information Officer at Cedars-Sinai,https://www.linkedin.com/in/darrendworkin
"Angie Torres RN, MSN, MHA,",Chief Clinical Officer,Kindred Healthcare,"Chief Clinical Officer, Kindred Healthcare",https://www.linkedin.com/in/angie-torres-rn-msn-mha-6b530ba1
"David Rhew, M.D.",,,Chief Medical Officer and Head of Healthcare and Fitness at Samsung Electronics America,https://www.linkedin.com/in/david-rhew-m-d-1832764
Paul Del Vacchio,Founder/Co-Owner/Chief Executive Officer,California Highlands Addiction Treatment,Chief Executive Officer at California Highlands Addiction Treatment,https://www.linkedin.com/in/paul-del-vacchio-77a50aa
Bill Gorenstein,Senior Vice President and Chief Financial Officer National Hospital Segment,"Prospect Medical Holdings, Inc. (National Hospital Segment)",Senior Vice President and Chief Financial Officer National Hospital Segment,https://www.linkedin.com/in/billgorenstein
Veeral Desai,"Chief Operating Officer, Vantage Cancer Care Network",McKesson,"Chief Operating Officer, Vantage Cancer Care Network (McKesson Corporation)",https://www.linkedin.com/in/veeraldesai
"Mohammed Mahbouba, MD, MS",,,Chief Data Officer at UCLA Health System,https://www.linkedin.com/in/drmohammedmahbouba
Dr. Stephen Grinstead,Co-Founder And Chief Clinical Officer,A Healing Place - The Estates,"Co-Founder Chief Clinical Officer of A Healing Place - The Estates in Camarillo, CA",https://www.linkedin.com/in/drstephengrinstead
"Stephen Odom, Ph.D.",CEO & Chief Clinical Officer,New Vista Behavioral Health,Chief Executive Officer at New Vista Behavioral Health,https://www.linkedin.com/in/stephen-odom-ph-d-733517a
Deb Hughes,Chief Executive Officer,Breathe Life Healing Center,Chief Executive Officer Breathe Life Healing Center,https://www.linkedin.com/in/deb-hughes-2b156616
Brandon Koretz,"Co-Chief, Division of Geriatric Medicine",UCLA Health,"Interim CEO, Faculty Practice Group at UCLA Health",https://www.linkedin.com/in/brandon-koretz-8983a936
Charles Shields,Chief Financial Officer,Greater El Monte Community Hospital,CFO Promise Hospital of East Los Angeles,https://www.linkedin.com/in/charles-shields-3aa60912
Maria Lozzano,Chief Operating Officer,VNA California,Chief Operating Officer (COO) at VNA California,https://www.linkedin.com/in/maria-lozzano-6170a2113
Joseph Allen,Chief Marketing Officer,VNA Health Care Inc.,Chief Marketing Officer at VNA Health Care,https://www.linkedin.com/in/joseph-allen-bba01667
"Dr. Christina Galstian, DSC",Chief Executive Officer,California State Healthcare Services,Chief Executive Officer (CEO),https://www.linkedin.com/in/dr-christina-galstian-dsc-5720126
Steven Cantrell,Chief Development Officer,"Pioneer Medical Group, Inc.",Chief Development Officer at Pioneer Medical Group,https://www.linkedin.com/in/stevencantrell
Este Geraghty,,,Chief Medical Officer and Health Solutions Director at Esri,https://www.linkedin.com/in/este-geraghty-77563411
"George Loy Leisher, Jr.",Chief Human Resources Officer,CHA Hollywood Presbyterian Medical Center,CHIEF HUMAN RESOURCES OFFICER at CHA Hollywood Presbyterian Medical Center,https://www.linkedin.com/in/george-loy-leisher-jr-106aa866
Steven Kregel,Chief Operating Officer / Partner,Northstar Senior Living,Chief Operating Officer / Partner at Northstar Senior Living - Entrust Senior Living - Partner,https://www.linkedin.com/in/steven-kregel-aabb3556
Karen Price-Gharzeddine,Chief Executive Officer,"San Gabriel Valley Medical Center, AHMC Health System",Chief Executive Officer,https://www.linkedin.com/in/karen-price-gharzeddine-98628236
Phillip Wolfe,"Chief Executive Officer, Los Angeles",Kindred Healthcare,Chief Executive Officer at Kindred Healthcare,https://www.linkedin.com/in/phillip-wolfe-8589633a
Sajid Ahmed,Chief Information & Innovation Officer,"Martin Luther King, Jr. Community Hospital","Chief Information & Innovation Officer (CIIO), Martin Luther King Jr. Healthcare Corporation",https://www.linkedin.com/in/sajidahmed
Sorena Nadaf,"Senior Vice President, Chief Informatics Officer (CIO). Director Data Science & Digital Health",City of Hope,"Senior Vice President, Chief Informatics Officer (CIO). Director Data Science & Digital Health Innovation: City of Hope",https://www.linkedin.com/in/sorena-nadaf-36539a4
Delvecchio Finley,,,Chief Executive Officer at Alameda Health System,https://www.linkedin.com/in/delvecchio-finley-2354916
Caitlin Beck,"Chief Administrative Officer, UCLA Mattel Children\xe2\x80\x99s Hospital & Women\xe2\x80\x99s Health, UCLA Health",UCLA Health,"Chief Administrative Officer, UCLA Mattel Children\xe2\x80\x99s Hospital and Women\xe2\x80\x99s Health at UCLA Health",https://www.linkedin.com/in/caitlin-beck-38591b1
Parvez Gondal MD,Chief Executive Officer - Founder,"United Staffing Solutions, Inc. (USSI)","Chief Executive Officer at United Staffing Solutions, Inc. (USSI)",https://www.linkedin.com/in/mdnitrous
Nirav Shah,,,Senior Vice President and Chief Operating Officer for clinical operations at Kaiser Permanente,https://www.linkedin.com/in/niravrshah
"Amy Gutierrez, Pharm.D.","Vice President, Chief Pharmacy Officer, National Pharmacy Programs and Services",Kaiser Permanente,"Vice President, Chief Pharmacy Officer, Kaiser Permanente",https://www.linkedin.com/in/amy-gutierrez-pharm-d-a1a22320
"Subhas Gupta, MD, CM, PhD, FRCSC, FACS",Associate Chief of Surgical Services (Immediate Past Chief),Loma Linda University Medical Center,"Subhas Gupta - Chairman, Chief of Surgery / Surgical Services CMO, Loma Linda U; Medical Exec Officer; Plastic Surgery",https://www.linkedin.com/in/aesthetics
Steve Popkin,Chief Executive Officer,Parkview Community Hospital Medical Center,"Chief Executive Officer at Parkview Community Hospital Medical Center, Riverside, CA",https://www.linkedin.com/in/steve-popkin-7187842a
Maureen Archambault,,,"Senior Vice President, Chief Risk Officer at Prospect Medical Holdings, Inc.",https://www.linkedin.com/in/maureen-archambault-91a3784
Michael Pfeffer,Chief Information Officer,UCLA Health,Chief Information Officer at UCLA Health Sciences,https://www.linkedin.com/in/michael-pfeffer-23980821
Jay W. Lee MD MPH FAAFP,,,Chief Medical Officer at Venice Family Clinic,https://www.linkedin.com/in/jay-w-lee-md-mph-faafp-77019837
Myra G.,,,Chief Human Resources Officer at Childrens Hospital Los Angeles (CHLA),https://www.linkedin.com/in/myra-g-22b7719
Prub (P.K.) Khurana,"Chief Executive Officer, Providence Health Network",Providence Health & Services,"Chief Executive Officer, Providence Health Network & Chief Strategic Services Officer at Providence Health & Services",https://www.linkedin.com/in/prubkhurana
"Shawn Phipps, PhD, MS, OTR/L, FAOTA",Chief Quality Officer & Associate Hospital Administrator,Rancho Los Amigos National Rehabilitation Center,Chief Quality Officer & Associate Hospital Administrator Rancho Los Amigos National Rehabilitation Center,https://www.linkedin.com/in/shawnphipps
"Deon Kidd, DHSc, MPH, MS, PA-C",Chief Administrative Physician Assistant And Orthopedic Surgery PA Fellowship Director (ARMC),Arrowhead Orthopedics,Chief Administrative Physician Assistant And Orthopedic Surgery PA Fellowship Director,https://www.linkedin.com/in/deon-kidd-dhsc-mph-ms-pa-c-484a596
Dino Kasdagly,,,Chief Operating Officer at L.A. Care Health Plan,https://www.linkedin.com/in/dinokasdagly
Bill Lazarus,,,Chief Technology Officer at UCLA Health,https://www.linkedin.com/in/bill-lazarus-a4a7147
Cindra Syverson,"Senior Vice President, Chief Human Resources Officer","Prospect Medical Holdings, Inc.","Senior Vice President, Chief Human Resources Officer at Prospect Medical Holdings, Inc",https://www.linkedin.com/in/csyverson
Anthony Nguyen,,,Chief Executive Officer at Kindred Healthcare,https://www.linkedin.com/in/anthony-nguyen-35275328
Ravnyssa Walia,Chief Clinical Officer,VNA Health Care Inc.,"Chief Clinical Officer at VNA Health Care - Home Health, Hospice, and Private Caregiving",https://www.linkedin.com/in/ravnyssa-walia-568134b1
David Mast,Chief Transition Officer,Providence Health & Services,"Chief Executive, Medical Group Foundations - Los Angeles, Providence St. Joseph Health",https://www.linkedin.com/in/david-mast-961109a5
Nelson Smith,,,Chief Executive Officer at Pacific Grove Hospital,https://www.linkedin.com/in/nelson-smith-515830b0
"Gregg Fonarow, MD, FACC",,,Co-Chief at UCLA Division of Cardiology,https://www.linkedin.com/in/gregg-fonarow-md-facc-9b1b0689
"Michael Hodgkins MD, MPH",Chief Medical Information Officer (CMIO),American Medical Association,Chief Medical Information Officer (CMIO),https://www.linkedin.com/in/michael-hodgkins-md-mph-b967953
TJ Malseed,Chief Information Officer,Keck Medicine of USC,Chief Information Officer and Associate Dean at Keck Medicine of USC and Keck School of Medicine,https://www.linkedin.com/in/tjmalseed
Marcia Anderson,,,Chief of Medical Services at IEHP,https://www.linkedin.com/in/marcia-anderson-78b6bab2
Patrick Takahashi,,,Chief Medical Information Officer at Verity Health System,https://www.linkedin.com/in/patrick-takahashi-a1b7b9b7
Eric Wan,Chief Commercial Officer,"Maxor National Pharmacy Services, LLC",Executive Vice President of Sales & Marketing and Chief Commercial Officer,https://www.linkedin.com/in/eric-wan-b4bb9b2
Robert Cho,,,Chief of Staff at Shriners Hospitals for Children,https://www.linkedin.com/in/robert-cho-28576bb4
William Jih,,,"Chief Medical Officer at Beaver Medical Group, Inc.",https://www.linkedin.com/in/william-jih-23349bb2
Michael Sardaryzadeh,Chief Information Security Officer,Prime Healthcare Services,Chief Information Security Officer - Prime Healthcare,https://www.linkedin.com/in/michael-sardaryzadeh
Alice Kuo,Chief of Medicine-Pediatrics,David Geffen School of Medicine at UCLA,Chief of Medicine-Pediatrics,https://www.linkedin.com/in/alice-kuo-7686289
Kent Hoyos,Vice President Information Technology - Chief Information Officer,Pomona Valley Hospital Medical Center,Chief Information Officer at Pomona Valley Hospital Medical Center,https://www.linkedin.com/in/kent-hoyos-348a5a1a
"Sylvain Trepanier, DNP, RN, CENP",Chief Clinical Executive,Providence St. Joseph Health,"Regional Chief Clinical Executive, Providence St. Joseph Health, California",https://www.linkedin.com/in/sylvain-trepanier-dnp-rn-cenp-79751412
Miriam Vega,,,Chief Executive Officer at UMMA COMMUNITY CLINIC,https://www.linkedin.com/in/miriam-vega-6581b914
Karen Sugano,Chief Operating Officer,CareMore Health Plan,Chief Operating Officer at CareMore,https://www.linkedin.com/in/karen-sugano-3362b63
Lara Khouri,Senior Vice President & Chief Strategy Officer,Childrens Hospital Los Angeles (CHLA),Senior Vice President and Chief Strategy Officer at Childrens Hospital Los Angeles (CHLA),https://www.linkedin.com/in/lara-khouri-40586
John Padama,Chief Executive Officer,Unistaff,Chief Executive Officer,https://www.linkedin.com/in/john-padama-075157b6
Belinda Tan,Co-founder and Chief Medical Officer,Science 37,Co-Founder and Chief Medical Officer at Science 37,https://www.linkedin.com/in/belindatanmd
Matthew Gerlach,,,Executive Vice President/Chief Operating Officer at CHOC Children\xe2\x80\x99s Hospital of Orange County,https://www.linkedin.com/in/msg55
Anthony Gabriel,,,Chief Operating Officer at Radiology Partners,https://www.linkedin.com/in/anthonygabriel
Mark Uffer,,,"Chief Executive Officer, Managing Director at Corona Regional Medical Center",https://www.linkedin.com/in/mark-uffer-56635444
Annette Z,Chief Financial Officer,Be Well Nursing LLC,"Chief Financial Officer, Be Well Nursing LLC",https://www.linkedin.com/in/annette-z-11587030
Rohit Kohli,Division Chief,Childrens Hospital Los Angeles (CHLA),"Division Chief of Pediatric Gastroenterology, Hepatology, and Nutrition",https://www.linkedin.com/in/rohit-kohli-07ab104
Neal Kaufman,Founder and Chief Medical Officer,Canary Health,Co-founder and Chief Medical Officer at Canary Health,https://www.linkedin.com/in/neal-kaufman
Rita (Goodwin) Young,Chief Operations Officer,"Health Data Vision, Inc.","Chief Operations Officer - Health Data Vision, Inc.",https://www.linkedin.com/in/rita-goodwin-young
Susi Takeuchi,Chief Human Resources Officer,UCLA Health,Chief Human Resources Officer at UCLA Health Sciences,https://www.linkedin.com/in/susi-takeuchi-1bb5b118
Eric Marton,Chief Strategy Officer,Verity Health System,Chief Strategy Officer at Verity Health System _____ CEO at Verity Physician Network,https://www.linkedin.com/in/ericmarton
Matthew Wickesberg,,,Chief Financial Officer / Board Member at Gentle Dental Careers,https://www.linkedin.com/in/matthew-wickesberg-915a2413
Jonas Essoufi,,,Chief Executive Officer at Weight Loss Medical Group,https://www.linkedin.com/in/jonas-essoufi-0377477
"Paulette Heitmeyer, RN, MSN/ED",,,Administrator and Chief Operating Officer at Marina Del Rey Hospital A Cedars-Sinai Affiliate,https://www.linkedin.com/in/pauletteheitmeyer
Lily Kam,,,Chief Financial Officer at Prospect Medical,https://www.linkedin.com/in/lily-kam-48b942a
Sergio Gallegos,,,Associate Chief Technology Officer at UCLA Health,https://www.linkedin.com/in/sergiogallegos
Woojin Kim,,,Chief Medical Information Officer at Nuance Communications,https://www.linkedin.com/in/woojinkim
Jerome M. D.,Chief Nursing Officer,Arrowhead Regional Medical Center,"Chief Nursing Officer at Arrowhead Regional Medical Center (456-bed trauma, stroke, and burn center)",https://www.linkedin.com/in/dayaoj
Ozzie Martinez,,,Chief Administrative Officer at Kaiser Permanente,https://www.linkedin.com/in/ozzie-martinez-23a723106
Tarek A. Salaway,Chief Executive,"Mission Hospital & Mission Laguna Beach, St. Joseph Hoag Health, Providence St. Joseph Health","Chief Executive at Mission Hospital & Mission Laguna Beach, St. Joseph Health, Providence St. Joseph Health",https://www.linkedin.com/in/tarek-a-salaway-b58b641
"Nicholas Testa, MD FACEP",Chief Physician Executive,Dignity Health,Chief Physician Executive - Dignity Health Southern California,https://www.linkedin.com/in/nicholas-testa-md-facep-23aa6246
Robert Cherry,Chief Medical and Quality Officer,UCLA Health,"Chief Medical and Quality Officer, UCLA Health",https://www.linkedin.com/in/robert-cherry-6348b62
Mark Puleo,,,Vice President/Chief Human Resources Officer at Henry Mayo Newhall Memorial Hospital,https://www.linkedin.com/in/mark-puleo-25a20216
Ben Nathan,,,Chief Information Officer at UCLA David Geffen School of Medicine,https://www.linkedin.com/in/bennathan
"Matt Blevins, JD, MHA",,,Chief Executive Officer at Barstow Community Hospital,https://www.linkedin.com/in/mattblevinsjd
Perry Cohen,Chief Executive Officer,The Pharmacy Group,"Chief Executive Officer, The Pharmacy Group",https://www.linkedin.com/in/perrycohen
Margaret Hambleton,,,"Vice President, Chief Compliance Officer at Dignity Health",https://www.linkedin.com/in/margaret-hambleton-59562a19
Dale Villani,,,Chief Executive Officer at Gold Coast Health Plan,https://www.linkedin.com/in/dale-villani-2609256
John Ferrelli,,,Chief Executive Officer at Seton Medical Center,https://www.linkedin.com/in/john-ferrelli-83017511
Brian Kelly,,,Chief Operating Officer at National Veterinary Associates,https://www.linkedin.com/in/brian-kelly-6a9700
"Arthur Dominguez Jr. MSN, RN, CEN, CPEN, TCRN, CCRN",Assistant Chief Nursing Officer,Desert Regional Medical Center,Assistant Chief Nursing Officer,https://www.linkedin.com/in/arthur-dominguez-jr-msn-rn-cen-cpen-tcrn-ccrn-16a80386
James Ausman,,,Editor in Chief at Surgical Neurology International,https://www.linkedin.com/in/james-ausman-0346712a
LinkedIn Member,Vice President & Chief Information Officer,VCA,,
Ellen Pollack,,,Chief Nursing Informatics Officer at UCLA Health System,https://www.linkedin.com/in/ellenpollack
Shannon OKelley,,,Chief Operating Officer at UCLA Health System,https://www.linkedin.com/in/shannon-o-kelley-16b0b267
