name,position,company,description,linkedin_url
Peter Bacon,Chief Business Development Officer-ProHealth Care/Chief Administrative Officer-ProHealth Solutions,ProHealth Care,Chief Business Development Officer at ProHealth Care,https://www.linkedin.com/in/peter-bacon-386b699/
Lisa A. Thomson,,,Chief Marketing and Strategy Officer at Pathway Health Services,https://www.linkedin.com/in/lisathomson/
Andres Gonzalez,,,"Vice President, Chief Diversity Officer at Froedtert & Medical College of Wisconsin",https://www.linkedin.com/in/andresgonzalez427/
Daphne E. Jones,Senior Executive and Chief Information Officer - GE Healthcare Global Services,General Electric,"GE Healthcare Senior Vice President and Chief Information Officer - Engineering, Products and Global Franchises",https://www.linkedin.com/in/daphne-e-jones-4392bb10/
John Realini,Chief Information Officer,Primex Family of Companies,"Chief Information Officer | CIO | CTO | VP Information Technology | Strategy, Execution, & Transformation",https://www.linkedin.com/in/johnrealini/
Dee McCarthy,Chief Clinical Officer,North Shore Healthcare,Chief Clinical Officer at Northshore Healthcare,https://www.linkedin.com/in/dee-mccarthy-2590963a/
"Leonard Egede, MD, MS","Chief, Division of General Internal Medicine",Medical College of Wisconsin,"Chief, Division of General Internal Medicine; Professor & Eminent Scholar, Medical College of Wisconsin",https://www.linkedin.com/in/leonardegede/
Michelle Putz,Chief Operating Officer,Jewish Home and Care Center,Chief Operating Officer at Ovation Communities,https://www.linkedin.com/in/michelle-putz-918811aa/
Rachel Conard,,,Chief Talent Officer at 1st St. NW Inc.,https://www.linkedin.com/in/rachelconardcto/
Nick Turkal,,,President and Chief Executive Officer at Aurora Health Care,https://www.linkedin.com/in/nickturkalmd/
Mark Phillips,"Chief Marketing and Commercial Officer, Imaging",GE Healthcare,"Chief Marketing and Commercial Officer, Imaging",https://www.linkedin.com/in/markalanphillips/
Hsieng Su,Chief Medical Officer,"Aurora St. Lukes Medical Center""","Chief Medical Officer at Aurora St Lukes Medical Center""",https://www.linkedin.com/in/hsieng-su-607863a8/
Tom McCormick,Chief Commerical Officer Sutherland Healthcare Soultions Sr. Vice President Healthcare,Sutherland Global Services,Chief Commercial Officer Sutherland Healthcare Solutions Sr. Vice President Healthcare at Sutherland Global Services,https://www.linkedin.com/in/tom-mccormick-4345016/
Eric Rhodes,Chief Operating Officer,"Columbia St. Marys""","Chief Operating Officer at Ascension Columbia St. Marys Hospital, Milwaukee WI""",https://www.linkedin.com/in/eric-rhodes-717a769/
Kingston MaryBeth,,,Executive Vice President and Chief Nurse Executive at Aurora Health Care,https://www.linkedin.com/in/kingston-marybeth-a873755b/
Wayne Frangesch,Chief Human Resources Officer,UW Health,"Chief Human Resources Officer at the UW Health headquartered in Madison, Wisconsin",https://www.linkedin.com/in/wayne-frangesch-b31b623/
Eric Humphrey,,,Senior Vice President Human Resources / Chief Human Resources Officer at Froedtert Health,https://www.linkedin.com/in/eric-humphrey-1a80689/
Scott Hardin,,,Chief Medical Officer for Clinical Integration at Aurora Health Care,https://www.linkedin.com/in/scott-hardin-31260112/
Philip Kubow,Chief Human Resources Officer,ProHealth Care,Chief Human Resources Officer,https://www.linkedin.com/in/philip-kubow-07640512/
Ronald J.(Ron) Farr,Chief Financial and Chief Adminisrtative Officer,ProHealth Care,Chief Financial Officer at ProHealth Care,https://www.linkedin.com/in/ronald-j-ron-farr-0a131b15/
Rick Anderson,Chief Executive Officer,Smart Choice MRI,"Chairman and Chief Executive Officer, Smart Choice MRI",https://www.linkedin.com/in/andersonrick1/
Stephanie Lenzner,"VP, Chief Analytics Officer",Froedtert Health,"Vice President, Chief Analytics Officer, Froedtert and the Medical College of Wisconsin",https://www.linkedin.com/in/stephanie-lenzner-9031553/
Mike Anderes,Chief Innovation and Digital Officer,Froedtert Health,President at Inception Health and Chief Innovation and Digital Officer for F&MCW,https://www.linkedin.com/in/mike-anderes-1b9708a/
Dave Fulcher,,,Chief Executive Officer at Milwaukee Catholic Home,https://www.linkedin.com/in/davefulcher/
"Jill Allen, RN, MS",President and Chief Executive Officer,"Consumer Health Connections, LLC",President and Chief Executive Officer at Consumer Health Connections,https://www.linkedin.com/in/jillallen1/
Jean Beaudette,Chief Nursing Officer,"Select Specialty Hospital - Milwaukee - St.Lukes""",Chief Nursing Officer/Vice President Patient Care Services,https://www.linkedin.com/in/jean-beaudette-a83548a0/
Barclay Ferguson,,,Chief Financial Officer at Medical College of Wisconsin,https://www.linkedin.com/in/barclayferguson/
Andy Anderson,Chief Medical Officer - System and Executive Vice President,Aurora Health Care,Chief Medical Officer and Executive Vice President,https://www.linkedin.com/in/andy-anderson-4a2b063a/
Andrew Resnick,Chief Medical Officer and Associate Dean for Clinical Affairs,Froedtert Hospital,Chief Medical Officer at Froedtert Hospital / Medical College of Wisconsin - Medical College Physicians,https://www.linkedin.com/in/andrew-resnick-a035914/
Jon Leverence,,,Chief Information Officer at GE Appliances & Lighting,https://www.linkedin.com/in/jonleverence/
Kevin Kluesner,,,Chief Administrative Officer at Ascension St. Joseph Hospital,https://www.linkedin.com/in/kevin-kluesner-010386a/
